symbol,timeframe,ema_x,ema_y,final_balance,profit_pct,profit_pct_no_shift,lookahead_delta,bh_return_pct,alpha_pct,profit_factor,sharpe,sortino,calmar,omega_ratio,ulcer_index,recovery_factor,tail_ratio,max_drawdown_pct,max_dd_bars,total_trades,win_rate_pct,payoff_ratio,expectancy_pct,expectancy_dol,sqn,kelly_fraction,kelly_profit_pct,risk_of_ruin_pct,long_trades,long_win_rate,long_profit_pct,short_trades,short_win_rate,short_profit_pct,max_consec_wins,max_consec_loss,avg_win_pct,avg_loss_pct,avg_hold_bars,avg_mae_pct,avg_mfe_pct,avg_edge_ratio,t_stat,p_value,is_significant,ljung_box_p,has_autocorrelation,mc_p5,mc_p50,mc_p95,mc_prob_ruin,mc_sharpe_p5,mc_sharpe_p95,robustness_score,cagr_pct,wf_oos_avg,wf_oos_min,wf_oos_max,wf_oos_positive_folds,wf_oos_total_folds,regime_best_emas
XAU,1h,299,300,249846.24,149.85,-67.22,-217.06,-43.39,193.24,5.54,3.36,4.48,10.46,7.3,4.22,10.46,2.51,-14.32,2,12,83.33,1.11,8.3,12487.19,3.36,0.6828,90.0,0.0,6,66.67,23.41,6,100.0,102.46,7,1,11.53,-7.9,333.2,-13.77,13.56,3.39,3.22,0.0082,True,0.0,True,143355.47,260122.16,390653.44,0.0,1.19,10.61,100.0,643.47,19.66,-15.35,44.23,2,3,"{'Bullish': {'ema_x': 22, 'ema_y': 182, 'profit_factor': 4.67}, 'Bearish': {'ema_x': 232, 'ema_y': 272, 'profit_factor': 2.7}, 'Sideways': {'ema_x': 242, 'ema_y': 292, 'profit_factor': 3.6}}"
GOOGL,4h,299,300,243845.48,143.85,-78.95,-222.8,-68.63,212.48,1.82,1.75,1.74,3.23,3.57,19.27,3.23,1.44,-44.47,3,11,81.82,0.4,11.0,13076.86,1.75,0.3676,49.72,0.0,6,66.67,0.23,5,100.0,143.3,8,1,18.68,-23.57,363.5,-33.42,19.17,2.22,1.67,0.126,False,,False,54250.94,254781.56,736731.06,4.4,-0.17,6.14,100.0,62.93,-0.61,-65.97,65.19,1,3,"{'Bullish': {'ema_x': 172, 'ema_y': 222, 'profit_factor': 9.07}, 'Bearish': {'ema_x': 282, 'ema_y': 292, 'profit_factor': 1.58}, 'Sideways': {'ema_x': 252, 'ema_y': 292, 'profit_factor': 1.59}}"
OIL,3h,8,82,239977.89,139.98,-64.15,-204.13,166.92,-26.94,1.67,2.7,2.27,6.78,1.86,5.02,6.78,0.64,-20.63,17,131,80.15,0.41,0.72,1068.53,2.7,0.3229,34.63,0.0,65,90.77,165.78,66,69.7,-9.71,16,3,1.93,-4.19,30.5,-2.91,1.75,2.07,2.693,0.008,True,0.0266,True,130545.62,240464.25,420488.87,0.0,0.87,5.49,100.0,89.49,17.65,-10.15,63.42,1,3,"{'Bullish': {'ema_x': 212, 'ema_y': 282, 'profit_factor': 2.24}, 'Bearish': {'ema_x': 132, 'ema_y': 292, 'profit_factor': 11.12}, 'Sideways': {'ema_x': 12, 'ema_y': 52, 'profit_factor': 1.61}}"
TSLA,1h,27,118,232934.28,132.93,-80.26,-213.19,84.79,48.14,1.57,1.54,1.34,2.51,1.75,25.99,2.51,0.6,-52.88,21,53,79.25,0.41,2.43,2508.19,1.54,0.2866,40.17,0.0,27,88.89,143.83,26,69.23,-4.47,13,1,7.17,-15.67,75.4,-10.38,6.52,4.39,1.525,0.1332,False,0.4299,False,44706.05,225289.46,894509.37,6.8,-0.08,4.36,96.7,537.6,59.42,-6.0,120.7,2,3,"{'Bullish': {'ema_x': 2, 'ema_y': 22, 'profit_factor': 1.57}, 'Bearish': {'ema_x': 72, 'ema_y': 292, 'profit_factor': 2.19}, 'Sideways': {'ema_x': 12, 'ema_y': 102, 'profit_factor': 2.12}}"
OIL,15m,2,3,229408.8,129.41,-63.25,-192.66,58.65,70.76,1.2,2.17,2.02,4.28,1.21,10.43,4.28,0.59,-30.23,297,1030,71.07,0.49,0.09,125.64,2.17,0.119,11.45,0.0,514,71.6,100.85,516,70.54,14.22,20,5,0.73,-1.49,3.9,-0.9,0.54,2.06,2.174,0.0299,True,0.835,False,115858.58,240681.96,476205.68,0.0,0.56,4.1,28.6,143263.63,23.62,1.6,42.33,3,3,"{'Bullish': {'ema_x': 2, 'ema_y': 12, 'profit_factor': 0.76}, 'Bearish': {'ema_x': 2, 'ema_y': 72, 'profit_factor': 3.82}, 'Sideways': {'ema_x': 12, 'ema_y': 22, 'profit_factor': 0.84}}"
XAG,30m,77,145,225944.03,125.94,-73.25,-199.19,205.78,-79.83,1.93,1.65,1.25,3.36,2.1,15.71,3.36,0.54,-37.53,15,37,81.08,0.45,2.92,3403.89,1.65,0.3913,47.09,0.0,18,88.89,210.45,19,73.68,-27.22,9,1,6.87,-14.0,108.1,-8.46,6.61,4.95,1.63,0.1118,False,0.0224,True,59607.62,237396.0,648823.36,4.6,-0.15,5.97,100.0,3457.22,37.05,-7.87,85.32,2,3,"{'Bullish': {'ema_x': 2, 'ema_y': 262, 'profit_factor': 1.91}, 'Bearish': {'ema_x': 52, 'ema_y': 72, 'profit_factor': 2.81}, 'Sideways': {'ema_x': 22, 'ema_y': 82, 'profit_factor': 2.12}}"
ETH,1h,154,187,224538.86,124.54,-72.25,-196.78,148.49,-23.96,2.1,1.66,1.69,2.7,2.47,16.96,2.7,0.71,-46.12,7,23,86.96,0.31,4.6,5414.73,1.66,0.4552,54.26,0.0,11,90.91,173.8,12,83.33,-17.99,10,1,8.91,-24.09,173.8,-12.83,9.7,10.11,1.628,0.1178,False,0.1982,False,59586.43,213409.63,641616.66,3.2,-0.16,6.64,100.0,488.36,-11.55,-79.8,65.11,1,3,"{'Bullish': {'ema_x': 122, 'ema_y': 132, 'profit_factor': 0.97}, 'Bearish': {'ema_x': 2, 'ema_y': 82, 'profit_factor': 3.15}, 'Sideways': {'ema_x': 2, 'ema_y': 12, 'profit_factor': 1.26}}"
SOL,3h,145,298,224343.81,124.34,29.77,-94.58,-68.86,193.21,999.0,1.65,0.0,999.0,999.0,0.0,124.34,0.0,0.0,0,5,100.0,999.0,20.15,24868.76,1.65,1.0,124.34,0.0,2,100.0,24.65,3,100.0,79.98,5,0,20.15,0.0,799.6,-20.82,24.93,3.05,1.48,0.213,False,1.0,False,118958.16,224343.81,541728.03,0.0,1.37,4.16,60.2,80.39,30.45,4.66,52.51,3,3,"{'Bullish': {'ema_x': 162, 'ema_y': 282, 'profit_factor': 999.0}, 'Bearish': {'ema_x': 142, 'ema_y': 292, 'profit_factor': 999.0}, 'Sideways': {'ema_x': 152, 'ema_y': 272, 'profit_factor': 999.0}}"
SOL,1h,4,28,205929.01,105.93,-69.36,-175.29,-68.94,174.87,1.13,1.32,1.03,2.01,1.28,26.08,2.01,0.44,-52.8,76,259,74.9,0.38,0.45,408.99,1.32,0.0858,10.09,0.0,129,71.32,-0.35,130,78.46,106.66,15,3,2.72,-6.33,15.4,-4.28,2.26,3.43,1.319,0.1885,False,0.8358,False,42285.1,211868.22,843248.05,6.8,-0.29,3.27,67.0,386.77,34.58,-27.81,119.98,2,3,"{'Bullish': {'ema_x': 2, 'ema_y': 12, 'profit_factor': 0.93}, 'Bearish': {'ema_x': 12, 'ema_y': 72, 'profit_factor': 0.91}, 'Sideways': {'ema_x': 2, 'ema_y': 42, 'profit_factor': 1.11}}"
SOL,30m,27,61,204536.36,104.54,-83.77,-188.31,-79.75,184.28,1.2,1.42,1.01,1.68,1.57,25.72,1.68,0.49,-62.39,33,86,80.23,0.29,1.62,1215.54,1.42,0.1314,19.03,0.0,43,69.77,-10.77,43,90.7,129.23,15,2,5.55,-14.35,46.5,-7.61,5.25,3.54,1.413,0.1614,False,0.8285,False,20464.32,213810.76,1199918.76,13.8,-0.28,4.19,88.4,2200.14,17.24,-31.02,44.93,2,3,"{'Bullish': {'ema_x': 52, 'ema_y': 72, 'profit_factor': 2.12}, 'Bearish': {'ema_x': 132, 'ema_y': 282, 'profit_factor': 0.92}, 'Sideways': {'ema_x': 2, 'ema_y': 32, 'profit_factor': 1.34}}"
