symbol,timeframe,ema_x,ema_y,final_balance,profit_pct,profit_pct_no_shift,lookahead_delta,bh_return_pct,alpha_pct,profit_factor,sharpe,sortino,calmar,omega_ratio,ulcer_index,recovery_factor,tail_ratio,max_drawdown_pct,max_dd_bars,total_trades,win_rate_pct,payoff_ratio,expectancy_pct,expectancy_dol,sqn,kelly_fraction,kelly_profit_pct,risk_of_ruin_pct,long_trades,long_win_rate,long_profit_pct,short_trades,short_win_rate,short_profit_pct,max_consec_wins,max_consec_loss,avg_win_pct,avg_loss_pct,avg_hold_bars,avg_mae_pct,avg_mfe_pct,avg_edge_ratio,t_stat,p_value,is_significant,ljung_box_p,has_autocorrelation,mc_p5,mc_p50,mc_p95,mc_prob_ruin,mc_sharpe_p5,mc_sharpe_p95
SOL,3h,152,297,234815.82,134.82,22.46,-112.36,-68.86,203.68,999.0,1.79,0.0,999.0,999.0,0.0,134.82,0.0,0.0,0,5,100.0,999.0,21.04,26963.16,1.79,1.0,134.82,0.0,2,100.0,26.26,3,100.0,85.98,5,0,21.04,0.0,799.6,-19.69,25.65,3.08,1.599,0.1851,False,1.0,False,129800.1,234815.82,555146.24,0.0,1.52,6.84
SOL,3h,154,298,240882.64,140.88,19.2,-121.68,-68.86,209.74,999.0,1.85,0.0,999.0,999.0,0.0,140.88,0.0,0.0,0,5,100.0,999.0,21.6,28176.53,1.85,1.0,140.88,0.0,2,100.0,28.22,3,100.0,87.87,5,0,21.6,0.0,799.6,-19.43,25.84,3.09,1.656,0.173,False,1.0,False,134286.18,240882.64,561335.68,0.0,1.57,6.41
SOL,3h,154,297,240882.64,140.88,19.2,-121.68,-68.86,209.74,999.0,1.85,0.0,999.0,999.0,0.0,140.88,0.0,0.0,0,5,100.0,999.0,21.6,28176.53,1.85,1.0,140.88,0.0,2,100.0,28.22,3,100.0,87.87,5,0,21.6,0.0,799.6,-19.43,25.84,3.09,1.656,0.173,False,1.0,False,134286.18,240882.64,561335.68,0.0,1.57,6.41
SOL,3h,154,296,241917.91,141.92,18.42,-123.5,-68.86,210.78,999.0,1.87,0.0,999.0,999.0,0.0,141.92,0.0,0.0,0,5,100.0,999.0,21.67,28383.58,1.87,1.0,141.92,0.0,2,100.0,28.22,3,100.0,88.68,5,0,21.67,0.0,799.6,-19.28,25.95,3.09,1.671,0.1701,False,1.0,False,134984.83,241917.91,562880.78,0.0,1.6,6.93
SOL,3h,154,294,234815.82,134.82,22.46,-112.36,-68.86,203.68,999.0,1.79,0.0,999.0,999.0,0.0,134.82,0.0,0.0,0,5,100.0,999.0,21.04,26963.16,1.79,1.0,134.82,0.0,2,100.0,26.26,3,100.0,85.98,5,0,21.04,0.0,799.6,-19.69,25.65,3.08,1.599,0.1851,False,1.0,False,129800.1,234815.82,555146.24,0.0,1.52,6.84
SOL,3h,154,293,234815.82,134.82,22.46,-112.36,-68.86,203.68,999.0,1.79,0.0,999.0,999.0,0.0,134.82,0.0,0.0,0,5,100.0,999.0,21.04,26963.16,1.79,1.0,134.82,0.0,2,100.0,26.26,3,100.0,85.98,5,0,21.04,0.0,799.6,-19.69,25.65,3.08,1.599,0.1851,False,1.0,False,129800.1,234815.82,555146.24,0.0,1.52,6.84
SOL,3h,154,292,234815.82,134.82,22.46,-112.36,-68.86,203.68,999.0,1.79,0.0,999.0,999.0,0.0,134.82,0.0,0.0,0,5,100.0,999.0,21.04,26963.16,1.79,1.0,134.82,0.0,2,100.0,26.26,3,100.0,85.98,5,0,21.04,0.0,799.6,-19.69,25.65,3.08,1.599,0.1851,False,1.0,False,129800.1,234815.82,555146.24,0.0,1.52,6.84
SOL,3h,154,291,234815.82,134.82,22.46,-112.36,-68.86,203.68,999.0,1.79,0.0,999.0,999.0,0.0,134.82,0.0,0.0,0,5,100.0,999.0,21.04,26963.16,1.79,1.0,134.82,0.0,2,100.0,26.26,3,100.0,85.98,5,0,21.04,0.0,799.6,-19.69,25.65,3.08,1.599,0.1851,False,1.0,False,129800.1,234815.82,555146.24,0.0,1.52,6.84
SOL,3h,154,290,233511.89,133.51,24.21,-109.3,-68.86,202.37,999.0,1.76,0.0,999.0,999.0,0.0,133.51,0.0,0.0,0,5,100.0,999.0,20.99,26702.38,1.76,1.0,133.51,0.0,2,100.0,27.21,3,100.0,83.57,5,0,20.99,0.0,799.6,-20.26,25.33,3.06,1.57,0.1915,False,1.0,False,127154.08,233511.89,552120.6,0.0,1.47,4.89
SOL,3h,154,289,233511.89,133.51,24.21,-109.3,-68.86,202.37,999.0,1.76,0.0,999.0,999.0,0.0,133.51,0.0,0.0,0,5,100.0,999.0,20.99,26702.38,1.76,1.0,133.51,0.0,2,100.0,27.21,3,100.0,83.57,5,0,20.99,0.0,799.6,-20.26,25.33,3.06,1.57,0.1915,False,1.0,False,127154.08,233511.89,552120.6,0.0,1.47,4.89
SOL,3h,154,288,233511.89,133.51,24.21,-109.3,-68.86,202.37,999.0,1.76,0.0,999.0,999.0,0.0,133.51,0.0,0.0,0,5,100.0,999.0,20.99,26702.38,1.76,1.0,133.51,0.0,2,100.0,27.21,3,100.0,83.57,5,0,20.99,0.0,799.6,-20.26,25.33,3.06,1.57,0.1915,False,1.0,False,127154.08,233511.89,552120.6,0.0,1.47,4.89
SOL,3h,154,287,224343.81,124.34,29.77,-94.58,-68.86,193.21,999.0,1.65,0.0,999.0,999.0,0.0,124.34,0.0,0.0,0,5,100.0,999.0,20.15,24868.76,1.65,1.0,124.34,0.0,2,100.0,24.65,3,100.0,79.98,5,0,20.15,0.0,799.6,-20.82,24.93,3.05,1.48,0.213,False,1.0,False,118958.16,224343.81,541728.03,0.0,1.37,4.16
SOL,3h,153,299,240882.64,140.88,19.2,-121.68,-68.86,209.74,999.0,1.85,0.0,999.0,999.0,0.0,140.88,0.0,0.0,0,5,100.0,999.0,21.6,28176.53,1.85,1.0,140.88,0.0,2,100.0,28.22,3,100.0,87.87,5,0,21.6,0.0,799.6,-19.43,25.84,3.09,1.656,0.173,False,1.0,False,134286.18,240882.64,561335.68,0.0,1.57,6.41
SOL,3h,153,298,241917.91,141.92,18.42,-123.5,-68.86,210.78,999.0,1.87,0.0,999.0,999.0,0.0,141.92,0.0,0.0,0,5,100.0,999.0,21.67,28383.58,1.87,1.0,141.92,0.0,2,100.0,28.22,3,100.0,88.68,5,0,21.67,0.0,799.6,-19.28,25.95,3.09,1.671,0.1701,False,1.0,False,134984.83,241917.91,562880.78,0.0,1.6,6.93
SOL,3h,153,297,241917.91,141.92,18.42,-123.5,-68.86,210.78,999.0,1.87,0.0,999.0,999.0,0.0,141.92,0.0,0.0,0,5,100.0,999.0,21.67,28383.58,1.87,1.0,141.92,0.0,2,100.0,28.22,3,100.0,88.68,5,0,21.67,0.0,799.6,-19.28,25.95,3.09,1.671,0.1701,False,1.0,False,134984.83,241917.91,562880.78,0.0,1.6,6.93
SOL,3h,151,287,223422.92,123.42,30.55,-92.87,-68.86,192.28,999.0,1.64,0.0,999.0,999.0,0.0,123.42,0.0,0.0,0,5,100.0,999.0,20.08,24684.58,1.64,1.0,123.42,0.0,2,100.0,24.65,3,100.0,79.24,5,0,20.08,0.0,799.6,-20.97,24.83,3.05,1.468,0.216,False,1.0,False,118900.61,223422.92,540369.92,0.0,1.36,4.12
SOL,3h,150,297,238148.18,138.15,20.54,-117.61,-68.86,207.01,999.0,1.83,0.0,999.0,999.0,0.0,138.15,0.0,0.0,0,5,100.0,999.0,21.34,27629.64,1.83,1.0,138.15,0.0,2,100.0,27.21,3,100.0,87.21,5,0,21.34,0.0,799.6,-19.57,25.83,3.08,1.632,0.1779,False,1.0,False,131815.52,238148.18,558851.37,0.0,1.55,6.29
SOL,3h,151,299,234815.82,134.82,22.46,-112.36,-68.86,203.68,999.0,1.79,0.0,999.0,999.0,0.0,134.82,0.0,0.0,0,5,100.0,999.0,21.04,26963.16,1.79,1.0,134.82,0.0,2,100.0,26.26,3,100.0,85.98,5,0,21.04,0.0,799.6,-19.69,25.65,3.08,1.599,0.1851,False,1.0,False,129800.1,234815.82,555146.24,0.0,1.52,6.84
SOL,3h,151,298,234815.82,134.82,22.46,-112.36,-68.86,203.68,999.0,1.79,0.0,999.0,999.0,0.0,134.82,0.0,0.0,0,5,100.0,999.0,21.04,26963.16,1.79,1.0,134.82,0.0,2,100.0,26.26,3,100.0,85.98,5,0,21.04,0.0,799.6,-19.69,25.65,3.08,1.599,0.1851,False,1.0,False,129800.1,234815.82,555146.24,0.0,1.52,6.84
SOL,3h,151,297,234815.82,134.82,22.46,-112.36,-68.86,203.68,999.0,1.79,0.0,999.0,999.0,0.0,134.82,0.0,0.0,0,5,100.0,999.0,21.04,26963.16,1.79,1.0,134.82,0.0,2,100.0,26.26,3,100.0,85.98,5,0,21.04,0.0,799.6,-19.69,25.65,3.08,1.599,0.1851,False,1.0,False,129800.1,234815.82,555146.24,0.0,1.52,6.84
SOL,3h,151,296,238148.18,138.15,20.54,-117.61,-68.86,207.01,999.0,1.83,0.0,999.0,999.0,0.0,138.15,0.0,0.0,0,5,100.0,999.0,21.34,27629.64,1.83,1.0,138.15,0.0,2,100.0,27.21,3,100.0,87.21,5,0,21.34,0.0,799.6,-19.57,25.83,3.08,1.632,0.1779,False,1.0,False,131815.52,238148.18,558851.37,0.0,1.55,6.29
SOL,3h,151,294,233511.89,133.51,24.21,-109.3,-68.86,202.37,999.0,1.76,0.0,999.0,999.0,0.0,133.51,0.0,0.0,0,5,100.0,999.0,20.99,26702.38,1.76,1.0,133.51,0.0,2,100.0,27.21,3,100.0,83.57,5,0,20.99,0.0,799.6,-20.26,25.33,3.06,1.57,0.1915,False,1.0,False,127154.08,233511.89,552120.6,0.0,1.47,4.89
SOL,3h,151,293,233511.89,133.51,24.21,-109.3,-68.86,202.37,999.0,1.76,0.0,999.0,999.0,0.0,133.51,0.0,0.0,0,5,100.0,999.0,20.99,26702.38,1.76,1.0,133.51,0.0,2,100.0,27.21,3,100.0,83.57,5,0,20.99,0.0,799.6,-20.26,25.33,3.06,1.57,0.1915,False,1.0,False,127154.08,233511.89,552120.6,0.0,1.47,4.89
SOL,3h,153,296,234815.82,134.82,22.46,-112.36,-68.86,203.68,999.0,1.79,0.0,999.0,999.0,0.0,134.82,0.0,0.0,0,5,100.0,999.0,21.04,26963.16,1.79,1.0,134.82,0.0,2,100.0,26.26,3,100.0,85.98,5,0,21.04,0.0,799.6,-19.69,25.65,3.08,1.599,0.1851,False,1.0,False,129800.1,234815.82,555146.24,0.0,1.52,6.84
SOL,3h,153,294,234815.82,134.82,22.46,-112.36,-68.86,203.68,999.0,1.79,0.0,999.0,999.0,0.0,134.82,0.0,0.0,0,5,100.0,999.0,21.04,26963.16,1.79,1.0,134.82,0.0,2,100.0,26.26,3,100.0,85.98,5,0,21.04,0.0,799.6,-19.69,25.65,3.08,1.599,0.1851,False,1.0,False,129800.1,234815.82,555146.24,0.0,1.52,6.84
SOL,3h,153,293,234815.82,134.82,22.46,-112.36,-68.86,203.68,999.0,1.79,0.0,999.0,999.0,0.0,134.82,0.0,0.0,0,5,100.0,999.0,21.04,26963.16,1.79,1.0,134.82,0.0,2,100.0,26.26,3,100.0,85.98,5,0,21.04,0.0,799.6,-19.69,25.65,3.08,1.599,0.1851,False,1.0,False,129800.1,234815.82,555146.24,0.0,1.52,6.84
SOL,3h,153,292,238148.18,138.15,20.54,-117.61,-68.86,207.01,999.0,1.83,0.0,999.0,999.0,0.0,138.15,0.0,0.0,0,5,100.0,999.0,21.34,27629.64,1.83,1.0,138.15,0.0,2,100.0,27.21,3,100.0,87.21,5,0,21.34,0.0,799.6,-19.57,25.83,3.08,1.632,0.1779,False,1.0,False,131815.52,238148.18,558851.37,0.0,1.55,6.29
